Ancestors,Latitude,Longitude
J1>J-Y6313>J-FT33726>J-FT34521,42.09300000,42.9894000
J1>J-Y6313>J-FT33726>J-FT265222>J-FT265222*,,
J1>J-Y6313>J-FT33726>J-FT265222>J-Y196305,41.23250000,14.7663000
J1>J-Y6313>J-FT33726>J-FT265222>J-Y196305,21.43480000,40.2542000
J1>J-Y6313>J-Y6304>J-F2306>J-Y135974>J-Y135974*,,
J1>J-Y6313>J-Y6304>J-F2306>J-Y135974>J-Y135974*,,
J1>J-Y6313>J-Y6304>J-F2306>J-Y135974>J-Y135974*,,
J1>J-Y6313>J-Y6304>J-F2306>J-Y135974>J-Y348375,22.98750000,50.1714000
J1>J-Y6313>J-Y6304>J-F2306>J-Y135974>J-Y348375,22.98750000,50.1714000
J1>J-Y6313>J-Y6304>J-ZS3642>J-Y19093>J-Y158859>J-Y158859*,16.09380000,44.0107000
J1>J-Y6313>J-Y6304>J-ZS3642>J-Y19093>J-Y158859>J-Y159014,22.75010000,71.3013000
J1>J-Y6313>J-Y6304>J-ZS3642>J-Y19093>J-Y158859>J-Y159014,16.37790000,48.9133000
J1>J-Y6313>J-Y6304>J-ZS3642>J-Y19093>J-ZS50>J-ZS50*,39.96780000,41.4030000
J1>J-Y6313>J-Y6304>J-ZS3642>J-Y19093>J-ZS50>J-ZS5071>J-ZS5071*,48.59000000,9.0032800
J1>J-Y6313>J-Y6304>J-ZS3642>J-Y19093>J-ZS50>J-ZS5071>J-M10096,6.70366000,-75.5071000
J1>J-Y6313>J-Y6304>J-ZS3642>J-Y19093>J-ZS50>J-ZS5071>J-M10096,6.70366000,-75.5071000
J1>J-Y6313>J-Y6304>J-ZS3642>J-Y19093>J-ZS50>J-ZS5071>J-Y271669>J-Y271669*,36.10540000,37.6010000
J1>J-Y6313>J-Y6304>J-ZS3642>J-Y19093>J-ZS50>J-ZS5071>J-Y271669>J-F23501,31.60810000,45.1075000
J1>J-Y6313>J-Y6304>J-ZS3642>J-Y19093>J-ZS50>J-ZS5071>J-Y271669>J-F23501,46.03150000,29.7568000
J1>J-Y6313>J-Y6304>J-ZS3642>J-Y19093>J-ZS50>J-ZS5071>J-BY119669>J-Y256359>J-Y448813>J-Y448813*,36.48760000,36.2284000
J1>J-Y6313>J-Y6304>J-ZS3642>J-Y19093>J-ZS50>J-ZS5071>J-BY119669>J-Y256359>J-Y448813>J-Y448811,36.48760000,36.2284000
J1>J-Y6313>J-Y6304>J-ZS3642>J-Y19093>J-ZS50>J-ZS5071>J-BY119669>J-Y256359>J-Y448813>J-Y448811,36.48760000,36.2284000
J1>J-Y6313>J-Y6304>J-ZS3642>J-Y19093>J-ZS50>J-ZS5071>J-BY119669>J-Y256359>J-Y448813>J-Y448811,36.48760000,36.2284000
J1>J-Z2215>J-Y29696>J-Y156525,,
J1>J-Z2215>J-Y29696>J-PF7261>J-Y168316>J-Y168316*,,
J1>J-Z2215>J-Y29696>J-PF7261>J-Y168316>J-ZS3290>J-FT277109>J-FT277109*,36.10540000,37.6010000
J1>J-Z2215>J-Y29696>J-PF7261>J-Y168316>J-ZS3290>J-FT277109>J-Y199403>J-Y199403*,36.00670000,38.9127000
J1>J-Z2215>J-Y29696>J-PF7261>J-Y168316>J-ZS3290>J-FT277109>J-Y199403>J-Y199105,34.15030000,38.1425000
J1>J-Z2215>J-Y29696>J-PF7261>J-Y168316>J-ZS3290>J-FT277109>J-Y199403>J-Y199105,34.15030000,38.1425000
J1>J-Z2215>J-Y29696>J-PF7261>J-Y168316>J-ZS3290>J-FT277109>J-Y199403>J-Y199105,34.15030000,38.1425000
J1>J-Z2215>J-Y29696>J-PF7261>J-Y168316>J-ZS3290>J-ZS3289>J-ZS3305,24.92790000,39.4378000
J1>J-Z2215>J-Y29696>J-PF7261>J-Y168316>J-ZS3290>J-ZS3289>J-ZS3305,31.35890000,72.3449000
J1>J-Z2215>J-Y29696>J-PF7261>J-Y168316>J-ZS3290>J-ZS3289>J-Y169200>J-Y169200*,23.34320000,45.1404000
J1>J-Z2215>J-Y29696>J-PF7261>J-Y168316>J-ZS3290>J-ZS3289>J-Y169200>J-ZS11812>J-ZS11812*,23.34320000,45.1404000
J1>J-Z2215>J-Y29696>J-PF7261>J-Y168316>J-ZS3290>J-ZS3289>J-Y169200>J-ZS11812>J-ZS11798,23.34320000,45.1404000
J1>J-Z2215>J-Y29696>J-PF7261>J-PH128>J-PH128*,45.06000000,18.2977000
J1>J-Z2215>J-Y29696>J-PF7261>J-PH128>J-PF7262>J-BY72832>J-FT346160,36.74960000,-119.5910000
J1>J-Z2215>J-Y29696>J-PF7261>J-PH128>J-PF7262>J-BY72832>J-FT346160,21.43480000,40.2542000
J1>J-Z2215>J-Y29696>J-PF7261>J-PH128>J-PF7262>J-FT363436>J-FT363436*,39.45020000,9.2574000
J1>J-Z2215>J-Y29696>J-PF7261>J-PH128>J-Y29688>J-Y234094>J-Y234094*,33.86800000,73.8036000
J1>J-Z2215>J-Y29696>J-PF7261>J-PH128>J-Y29688>J-Y234094>J-FT418082>J-FT418082*,,
J1>J-Z2215>J-Y29696>J-PF7261>J-PH128>J-Y29688>J-Y234094>J-FT418082>J-Y287905,16.37790000,48.9133000
J1>J-Z2215>J-Y29696>J-PF7261>J-PH128>J-Y29688>J-Y30278>J-Y85140>J-Y85140*,39.24790000,46.1518000
J1>J-Z2215>J-Y29696>J-PF7261>J-PH128>J-Y29688>J-Y30278>J-Y85140>J-Y85140*,36.48760000,36.2284000
J1>J-Z2215>J-Y29696>J-PF7261>J-PH128>J-Y29688>J-Y30278>J-Y85140>J-Y85140*,,
J1>J-Z2215>J-Y29696>J-PF7261>J-PH128>J-Y29688>J-Y30278>J-Y85140>J-Y212213,,
J1>J-Z2215>J-Y29696>J-PF7261>J-PH128>J-Y29688>J-Y30278>J-Y167773>J-F17410>J-Y94416,37.11410000,30.9564000
J1>J-Z2215>J-Y29696>J-PF7261>J-PH128>J-Y29688>J-Y30278>J-Y167773>J-Y33339>J-S695>J-S695*,39.96780000,41.4030000
J1>J-Z2215>J-Y29696>J-PF7261>J-PH128>J-Y29688>J-Y30278>J-Y167773>J-Y33339>J-S695>J-FTC45721,37.85010000,46.7723000
